title,genres
Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
"Deer Hunter, The (1978)",Drama|War
Young Frankenstein (1974),Comedy|Fantasy
Vertigo (1958),Drama|Mystery|Romance|Thriller
Thelma & Louise (1991),Adventure|Crime|Drama
Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance
"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
Amadeus (1984),Drama
Taxi Driver (1976),Crime|Drama|Thriller
Kick-Ass (2010),Action|Comedy
